process,rep,lag,theoretical_acf,acf
white_noise,9,12,0.0,0.01770786274962733
white_noise,9,13,0.0,0.05121209046224482
white_noise,9,14,0.0,0.0012066585923357085
white_noise,9,15,0.0,0.010251630181303992
white_noise,9,16,0.0,0.04752023813385116
white_noise,9,17,0.0,0.02651791231717884
white_noise,9,18,0.0,0.07490876210092036
white_noise,9,19,0.0,-0.028014636465630297
white_noise,9,20,0.0,0.011566509574688133
white_noise,10,1,0.0,0.04840976096891975
white_noise,10,2,0.0,-0.017602982128962483
white_noise,10,3,0.0,-0.036631434771122275
white_noise,10,4,0.0,-0.09195221586628766
white_noise,10,5,0.0,0.06195033407418098
white_noise,10,6,0.0,0.022868529892487752
white_noise,10,7,0.0,-0.07402333883409636
white_noise,10,8,0.0,0.024648228725507797
white_noise,10,9,0.0,-0.05249779257158377
white_noise,10,10,0.0,0.14494074517334718
white_noise,10,11,0.0,0.07481150937445676
white_noise,10,12,0.0,0.0010771180677370332
white_noise,10,13,0.0,0.026384983789789575
white_noise,10,14,0.0,-0.012604310816902208
white_noise,10,15,0.0,0.004101169843551665
white_noise,10,16,0.0,0.04885055357251499
white_noise,10,17,0.0,-0.05933195499179259
white_noise,10,18,0.0,-0.008925306955650547
white_noise,10,19,0.0,-0.012308552425999836
white_noise,10,20,0.0,0.0015671748623042323
white_noise,11,1,0.0,-0.00878537238540886
white_noise,11,2,0.0,-0.030495682306625513
white_noise,11,3,0.0,-0.025379037526611043
white_noise,11,4,0.0,-0.0014763074357955356
white_noise,11,5,0.0,0.05311710726348689
white_noise,11,6,0.0,-0.040585616999962715
white_noise,11,7,0.0,0.06149007083018363
white_noise,11,8,0.0,0.03823950849080029
white_noise,11,9,0.0,-0.06976376445277667
white_noise,11,10,0.0,-0.07785426256024251
white_noise,11,11,0.0,0.02244941099380512
white_noise,11,12,0.0,0.02559642801588138
white_noise,11,13,0.0,-0.020540811007862127
white_noise,11,14,0.0,-0.04154174148005299
